Player,Pos,Tm,Pts,Wins,ClutchTS,ClutchPts,OPIPM,DPIPM,PIPM,ORPM,DRPM,RPM,OffRtg,DefRtg,NetRtg,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,G,MP
Jimmy Butler,SF-SG,TOT,0.28372093,0.596071429,0.515738499,0.498740554,0.271428571,0.245283019,0.233766234,0.394607843,0.506369427,0.466562986,0.422222222,0.420634921,0.376470588,0.385057471,0.39010989,0.298701299,0.065891473,0.141414141,0.287878788,0.85,0.148148148,0.243801653,0.401960784,0.195121951,0.311320755,0.400990099,0.292035398,0.328358209,0.241071429,0.156626506,65,0.721598415
Al Horford,C,BOS,0.139534884,0.607142857,1,0.244332494,0.3,0.471698113,0.415584416,0.272058824,0.624203822,0.426127527,0.459259259,0.603174603,0.541176471,0.385057471,0.576923077,0.331168831,0.368217054,0.348484848,0.366161616,0.2,0.611111111,0.107438017,0.31372549,0.292682927,0.273584906,0.440594059,0.247787611,0.641791045,0.383928571,0.21686747,68,0.651585205
Ben Simmons,PG,PHI,0.181395349,0.678571429,0.489104116,0.090680101,0.142857143,0.283018868,0.142857143,0.210784314,0.345541401,0.076205288,0.362962963,0.373015873,0.294117647,0.373563218,0.450549451,0.357142857,0.434108527,0.414141414,0.699494949,0.5,0.222222222,0.239669421,0.323529412,0.463414634,0.339622642,0.267326733,0.194690265,0.626865672,0.321428571,0.301204819,79,0.891677675
Chris Paul,PG,HOU,0.172093023,0.75,0.227602906,0.088161209,0.3,0.58490566,0.493506494,0.389705882,0.592356688,0.544323484,0.422222222,0.785714286,0.647058824,0.356321839,0.32967033,0.045454545,0.197674419,0.121212121,0.823232323,1,0.037037037,0.256198347,0.303921569,0.12195122,0.188679245,0.396039604,0.318584071,0.268656716,0.223214286,0.096385542,58,0.61327609
Luka Doncic,SG,DAL,0.455813953,0.035714286,0.394673123,0.589420655,0.271428571,0.150943396,0.168831169,0.355392157,0.087579618,0.00777605,0.096296296,0.261904762,0,0.350574713,0.247252747,0.168831169,0.507751938,0.378787879,0.628787879,0.3,0.055555556,0.58677686,0.088235294,0.243902439,0.028301887,0.04950495,0.318584071,0.402985075,0.3125,0.228915663,72,0.765521797
Jrue Holiday,SG,NOP,0.344186047,0.035714286,0,0.22418136,0.428571429,0.452830189,0.519480519,0.5,0.468152866,0.562986003,0.562962963,0.357142857,0.441176471,0.33908046,0.302197802,0.123376623,0.085271318,0.085858586,0.633838384,0.55,0.222222222,0.376033058,0.215686275,0.048780488,0.075471698,0.079207921,0.318584071,0.223880597,0.205357143,0.156626506,67,0.79326288
Eric Bledsoe,PG,MIL,0.269767442,1,0.401937046,0.40302267,0.428571429,0.509433962,0.558441558,0.427696078,0.390127389,0.395023328,0.666666667,0.76984127,0.829411765,0.333333333,0.423076923,0.162337662,0.11627907,0.131313131,0.522727273,0.7,0.092592593,0.272727273,0.31372549,0.512195122,0.339622642,0.405940594,0.283185841,0.388059701,0.267857143,0.192771084,78,0.750330251
D'Angelo Russell,PG,BRK,0.525581395,0.357142857,0.406779661,0.58186398,0.214285714,0.150943396,0.116883117,0.357843137,0.165605096,0.087091757,0.118518519,0.507936508,0.2,0.327586207,0.164835165,0.051948052,0.089147287,0.060606061,0.873737374,0.45,0,0.648760331,0.088235294,0.195121951,0,0,0.398230088,0.149253731,0.232142857,0.180722892,80,0.801849406
Pascal Siakam,PF,TOR,0.241860465,0.928571429,0.871670702,0.125944584,0.314285714,0.641509434,0.545454545,0.31372549,0.621019108,0.475894246,0.622222222,0.76984127,0.8,0.298850575,0.703296703,0.25974026,0.337209302,0.308080808,0.199494949,0.2,0.203703704,0.185950413,0.431372549,0.43902439,0.443396226,0.410891089,0.238938053,0.447761194,0.258928571,0.228915663,80,0.841479524
Steven Adams,C,OKC,0.046511628,0.607142857,0.336561743,0,0.157142857,0.490566038,0.298701299,0.056372549,0.613057325,0.141524106,0.488888889,0.603174603,0.564705882,0.293103448,0.510989011,0.863636364,0.236434109,0.46969697,0,0.55,0.333333333,0,0.37254902,0.56097561,0.424528302,0.356435644,0.123893805,0.567164179,0.214285714,0.204819277,79,0.877476882
De'Aaron Fox,PG,SAC,0.274418605,0.25,0.411622276,0.41813602,0.171428571,0.41509434,0.246753247,0.237745098,0.345541401,0.110419907,0.296296296,0.365079365,0.235294118,0.252873563,0.230769231,0.019480519,0.07751938,0.035353535,0.661616162,0.7,0.166666667,0.338842975,0.166666667,0.195121951,0.08490566,0.059405941,0.14159292,0.23880597,0.044642857,0.036144578,80,0.835204756
Donovan Mitchell,SG,UTA,0.530232558,0.642857143,0.217917676,0.717884131,0.214285714,0.396226415,0.285714286,0.279411765,0.302547771,0.121306376,0.311111111,0.793650794,0.564705882,0.212643678,0.203296703,0.071428571,0.065891473,0.055555556,0.366161616,0.5,0.055555556,0.636363636,0,0.487804878,0.047169811,0.00990099,0.132743363,0.208955224,0,0.012048193,77,0.857992074
Marc Gasol,C,TOT,0.088372093,0.329642857,0.384987893,0.146095718,0.1,0.867924528,0.519480519,0.164215686,0.697452229,0.360808709,0.17037037,0.714285714,0.388235294,0.183908046,0.252747253,0.142857143,0.631782946,0.444444444,0.393939394,0.35,0.481481481,0.181818182,0.068627451,0.56097561,0.132075472,0.128712871,0.03539823,0.701492537,0.205357143,0.168674699,79,0.804491413
Kyle Lowry,PG,TOR,0.055813953,0.928571429,0.123486683,0.113350126,0.428571429,0.471698113,0.532467532,0.453431373,0.463375796,0.499222395,0.733333333,0.650793651,0.794117647,0.172413793,0.340659341,0.045454545,0.158914729,0.106060606,0.70959596,0.5,0.111111111,0.136363636,0.235294118,0.317073171,0.188679245,0.257425743,0.283185841,0.313432836,0.232142857,0.144578313,65,0.730845443
Thaddeus Young,PF,IND,0.041860465,0.571428571,0.220338983,0.080604534,0,0.264150943,0,0.161764706,0.436305732,0.102643857,0.177777778,0.587301587,0.305882353,0.16091954,0.379120879,0.480519481,0.220930233,0.313131313,0.133838384,0.7,0.12962963,0.070247934,0.166666667,0.536585366,0.226415094,0.212871287,0.132743363,0.552238806,0.214285714,0.180722892,81,0.821994716
Josh Richardson,SG,MIA,0.148837209,0.25,0.481840194,0.294710327,0.042857143,0.396226415,0.12987013,0.278186275,0.337579618,0.153965785,0.037037037,0.658730159,0.247058824,0.028735632,0.197802198,0.058441558,0,0,0.28030303,0.25,0.111111111,0.194214876,0.166666667,0.219512195,0.094339623,0.074257426,0.150442478,0.179104478,0,0,73,0.838507266
Joe Ingles,PF,UTA,0,0.642857143,0.983050847,0.151133501,0.157142857,0.509433962,0.298701299,0.279411765,0.474522293,0.289269051,0.214814815,1,0.647058824,0,0.43956044,0.006493506,0.131782946,0.075757576,0.492424242,0.4,0,0.049586777,0.117647059,0.463414634,0.141509434,0.108910891,0.150442478,0.358208955,0.116071429,0.108433735,81,0.843130779
