Date,1st,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,11th,12th,13th,14th,15th,
1-Dec-19, LAL (17-3), DEN (13-4), LAC (15-6), DAL (13-6) T4, HOU (13-6) T4, UTA (12-8), MIN (10-9), PHO (8-10) T8, SAC (8-10) T8, OKC (8-11), POR (8-12), SAS (7-14), MEM (6-13), NOP (6-14), GSW (4-17),
2-Dec-19, LAL (17-3), DEN (13-4), LAC (15-6), DAL (13-6) T4, HOU (13-6) T4, UTA (12-9), MIN (10-9), PHO (9-10), OKC (8-11) T9, SAC (8-11) T9, POR (8-12), SAS (7-14), MEM (6-14) T13, NOP (6-14) T13, GSW (4-18),
3-Dec-19, LAL (18-3), LAC (16-6), DEN (13-5), DAL (14-6), HOU (13-7), UTA (12-9), MIN (10-9), PHO (9-10), OKC (8-11) T9, SAC (8-11) T9, POR (8-13), SAS (8-14), MEM (6-14), NOP (6-15), GSW (4-18),
4-Dec-19, LAL (19-3), LAC (16-6), DEN (13-5), DAL (15-6), HOU (13-7), UTA (12-10), MIN (10-10), PHO (9-11), POR (9-13), OKC (8-12) T10, SAC (8-12) T10, SAS (8-14), MEM (6-15) T13, NOP (6-15) T13, GSW (4-19),
5-Dec-19, LAL (19-3), DEN (14-5), LAC (16-6), DAL (15-6), HOU (14-7), UTA (12-10), MIN (10-10), PHO (10-11), POR (9-13), OKC (8-12) T10, SAC (8-12) T10, SAS (8-14), MEM (6-15), NOP (6-16), GSW (4-19),
6-Dec-19, LAL (20-3), DAL (15-6), DEN (14-6), LAC (16-7), HOU (14-7), UTA (12-10), MIN (10-11) T7, PHO (10-11) T7, OKC (9-12), POR (9-14) T10, SAS (9-14) T10, SAC (8-13), MEM (6-15), NOP (6-16), GSW (5-19),
7-Dec-19, LAL (20-3), DAL (16-6), DEN (14-6), LAC (16-7), HOU (15-7), UTA (13-10), MIN (10-11), PHO (10-12), OKC (9-12), POR (9-14) T10, SAS (9-14) T10, SAC (8-13), MEM (6-16), NOP (6-17), GSW (5-19),
8-Dec-19, LAL (21-3), LAC (17-7), DAL (16-7), HOU (15-7), DEN (14-7), UTA (13-10), MIN (10-12) T7, OKC (10-12) T7, PHO (10-12) T7, SAC (9-13), SAS (9-14), POR (9-15), MEM (6-16), NOP (6-17), GSW (5-19),
9-Dec-19, LAL (21-3), LAC (18-7), DAL (16-7), DEN (14-7), HOU (15-8), UTA (13-11), OKC (11-12) T7, PHO (11-12) T7, MIN (10-13) T9, SAC (10-13) T9, SAS (9-14), POR (9-15), MEM (7-16), NOP (6-18), GSW (5-20),
10-Dec-19, LAL (21-3), LAC (18-7), DAL (16-7), HOU (15-8), DEN (14-8), UTA (13-11), OKC (11-12) T7, PHO (11-12) T7, MIN (10-13) T9, SAC (10-13) T9, POR (10-15), SAS (9-14), MEM (7-16), NOP (6-18), GSW (5-20),
11-Dec-19, LAL (22-3), LAC (19-7), DAL (16-7), HOU (16-8), DEN (14-8), UTA (14-11), OKC (11-13) T7, PHO (11-13) T7, SAC (11-13) T7, MIN (10-14), POR (10-15), SAS (9-14), MEM (8-16), NOP (6-19), GSW (5-21),
12-Dec-19, LAL (22-3), LAC (19-7), DAL (17-7), HOU (16-8), DEN (15-8), UTA (14-11), OKC (11-13) T7, PHO (11-13) T7, SAC (11-13) T7, MIN (10-14), POR (10-16), SAS (9-15), MEM (8-16), NOP (6-19), GSW (5-21),
13-Dec-19, LAL (23-3), LAC (20-7), DAL (17-7), HOU (17-8), DEN (15-8), UTA (15-11), OKC (11-13) T7, PHO (11-13) T7, SAC (11-14), MIN (10-15), POR (10-16), SAS (9-15), MEM (8-17), NOP (6-20), GSW (5-22),
14-Dec-19, LAL (23-3), LAC (20-8), DAL (17-8), DEN (16-8), HOU (17-9), UTA (15-11), OKC (11-14) T7, PHO (11-14) T7, SAC (11-14) T7, MIN (10-15) T10, SAS (10-15) T10, POR (10-16), MEM (9-17), NOP (6-20), GSW (5-22),
15-Dec-19, LAL (24-3), LAC (20-8), DAL (17-8) T3, DEN (17-8) T3, HOU (17-9), UTA (15-11), SAC (12-14), OKC (11-14) T8, PHO (11-14) T8, MIN (10-15) T10, SAS (10-15) T10, POR (10-16), MEM (9-17), NOP (6-21), GSW (5-23),
16-Dec-19, LAL (24-3), LAC (20-8), DAL (18-8), DEN (17-8), HOU (18-9), UTA (15-11), OKC (12-14) T7, SAC (12-14) T7, PHO (11-15), POR (11-16), MIN (10-15), SAS (10-16), MEM (10-17), NOP (6-21), GSW (5-23),
17-Dec-19, LAL (24-4), LAC (21-8), DAL (18-8), DEN (17-8), HOU (18-9), UTA (16-11), OKC (12-14), SAC (12-15), PHO (11-16) T9, POR (11-16) T9, MIN (10-15), SAS (10-16), MEM (10-17), NOP (6-22), GSW (5-23),
18-Dec-19, LAL (24-4), LAC (21-8), DEN (18-8), DAL (18-9) T4, HOU (18-9) T4, UTA (16-11), OKC (13-14), SAC (12-15), POR (12-16), PHO (11-16), MIN (10-16) T11, SAS (10-16) T11, MEM (10-18), NOP (7-22), GSW (5-24),
19-Dec-19, LAL (24-5), LAC (21-9), DEN (18-8), HOU (19-9), DAL (18-9), UTA (17-11), OKC (13-14), SAC (12-15), POR (12-16), PHO (11-16) T10, SAS (11-16) T10, MIN (10-16), MEM (10-18), NOP (7-22), GSW (5-24),
20-Dec-19, LAL (24-5), DEN (19-8), LAC (21-9), DAL (19-9) T4, HOU (19-9) T4, UTA (17-11), OKC (14-14), POR (13-16), SAC (12-16), SAS (11-16), PHO (11-17), MIN (10-17), MEM (10-19), NOP (7-23), GSW (6-24),
21-Dec-19, LAL (24-5), LAC (22-9), DEN (19-8), HOU (20-9), DAL (19-9), UTA (18-11), OKC (14-14), POR (14-16), SAC (12-17), SAS (11-17), PHO (11-18), MEM (11-19), MIN (10-18), NOP (7-23), GSW (6-24),
22-Dec-19, LAL (24-6), DEN (20-8), HOU (20-9), LAC (22-10), DAL (19-10), UTA (18-11), OKC (15-14), POR (14-16), SAC (12-17), SAS (11-17), PHO (11-18), MEM (11-19), MIN (10-18), NOP (7-23), GSW (6-24),
